iter	Passed	Remaining
0	166	166103
1	168	84322
2	171	57062
3	174	43535
4	177	35361
5	181	30015
6	184	26125
7	188	23313
8	191	21069
9	194	19223
10	196	17677
11	199	16410
12	202	15343
13	205	14444
14	207	13655
15	210	12947
16	214	12380
17	218	11924
18	221	11440
19	225	11036
20	228	10656
21	232	10344
22	236	10038
23	239	9753
24	242	9475
25	245	9192
26	248	8952
27	251	8733
28	254	8520
29	257	8314
30	260	8136
31	263	7960
32	265	7784
33	269	7656
34	287	7918
35	294	7877
36	302	7877
37	307	7792
38	310	7662
39	316	7586
40	321	7509
41	325	7416
42	328	7309
43	336	7315
44	340	7228
45	343	7129
46	347	7046
47	351	6963
48	355	6893
49	359	6836
50	362	6752
51	365	6670
52	368	6591
53	372	6523
54	375	6451
55	378	6381
56	382	6329
57	385	6260
58	388	6192
59	391	6140
60	395	6083
61	398	6033
62	402	5985
63	407	5956
64	410	5901
65	414	5861
66	417	5815
67	421	5778
68	423	5716
69	426	5670
70	430	5632
71	433	5586
72	439	5580
73	444	5565
74	446	5510
75	450	5481
76	454	5452
77	458	5424
78	461	5383
79	464	5337
80	466	5296
81	469	5258
82	472	5222
83	475	5186
84	478	5147
85	480	5109
86	484	5080
87	486	5046
88	489	5010
89	492	4975
90	494	4943
91	498	4917
92	501	4894
93	504	4861
94	506	4829
95	510	4802
96	512	4775
97	515	4746
98	518	4718
99	521	4693
100	525	4677
101	528	4656
102	531	4627
103	534	4602
104	536	4575
105	538	4542
106	541	4518
107	544	4493
108	546	4471
109	548	4439
110	551	4417
111	554	4399
112	558	4381
113	561	4361
114	564	4342
115	566	4320
116	569	4298
117	572	4279
118	575	4258
119	578	4245
120	581	4226
121	585	4211
122	587	4192
123	591	4175
124	594	4159
125	597	4144
126	601	4132
127	604	4120
128	608	4105
129	611	4091
130	614	4075
131	616	4056
132	620	4043
133	623	4031
134	626	4016
135	630	4003
136	634	3995
137	638	3989
138	642	3981
139	645	3966
140	649	3954
141	652	3940
142	655	3926
143	658	3911
144	661	3897
145	663	3882
146	666	3868
147	669	3854
148	672	3843
149	676	3831
150	679	3820
151	682	3809
152	685	3795
153	688	3782
154	691	3772
155	693	3751
156	696	3739
157	699	3728
158	702	3713
159	705	3704
160	709	3696
161	712	3684
162	715	3676
163	720	3672
164	723	3663
165	727	3652
166	729	3641
167	732	3629
168	735	3616
169	738	3605
170	742	3598
171	746	3592
172	749	3582
173	753	3576
174	756	3568
175	761	3566
176	765	3561
177	769	3551
178	773	3548
179	776	3539
180	781	3534
181	785	3528
182	788	3521
183	792	3516
184	797	3511
185	800	3504
186	804	3498
187	809	3496
188	813	3488
189	815	3478
190	819	3469
191	823	3463
192	826	3455
193	830	3451
194	834	3444
195	838	3437
196	841	3428
197	844	3422
198	849	3417
199	852	3410
200	855	3399
201	858	3392
202	862	3385
203	866	3379
204	869	3372
205	873	3365
206	876	3357
207	879	3349
208	883	3343
209	886	3335
210	890	3329
211	893	3320
212	896	3313
213	901	3309
214	906	3307
215	910	3305
216	914	3298
217	917	3291
218	922	3289
219	925	3282
220	929	3276
221	932	3269
222	936	3264
223	941	3260
224	944	3253
225	947	3245
226	950	3237
227	955	3234
228	959	3229
229	962	3223
230	966	3217
231	970	3212
232	974	3207
233	978	3204
234	985	3207
235	989	3204
236	993	3199
237	998	3198
238	1003	3193
239	1006	3187
240	1011	3186
241	1015	3181
242	1018	3173
243	1023	3169
244	1026	3164
245	1030	3158
246	1034	3154
247	1039	3151
248	1043	3146
249	1046	3140
250	1050	3134
251	1053	3127
252	1056	3119
253	1060	3114
254	1064	3108
255	1067	3103
256	1072	3100
257	1075	3093
258	1080	3090
259	1084	3087
260	1088	3082
261	1092	3076
262	1096	3072
263	1100	3067
264	1104	3062
265	1108	3058
266	1111	3052
267	1115	3047
268	1119	3042
269	1124	3038
270	1127	3032
271	1130	3025
272	1135	3024
273	1139	3018
274	1143	3015
275	1147	3010
276	1150	3003
277	1154	2997
278	1156	2989
279	1160	2984
280	1165	2980
281	1168	2975
282	1172	2970
283	1176	2966
284	1179	2960
285	1183	2953
286	1186	2947
287	1190	2942
288	1193	2936
289	1197	2931
290	1202	2929
291	1213	2941
292	1217	2937
293	1221	2932
294	1224	2927
295	1228	2923
296	1233	2920
297	1238	2917
298	1243	2914
299	1249	2914
300	1253	2910
301	1274	2946
302	1287	2961
303	1293	2961
304	1301	2966
305	1316	2984
306	1327	2996
307	1351	3036
308	1366	3055
309	1374	3060
310	1385	3070
311	1392	3070
312	1406	3087
313	1418	3100
314	1446	3146
315	1495	3236
316	1522	3279
317	1566	3359
318	1575	3364
319	1621	3444
320	1636	3460
321	1650	3474
322	1673	3508
323	1679	3503
324	1688	3506
325	1699	3514
326	1706	3512
327	1711	3506
328	1720	3509
329	1738	3528
330	1742	3522
331	1761	3543
332	1770	3546
333	1780	3549
334	1794	3562
335	1801	3560
336	1817	3576
337	1826	3577
338	1835	3578
339	1840	3572
340	1848	3571
341	1851	3563
342	1860	3563
343	1864	3555
344	1869	3548
345	1873	3541
346	1877	3533
347	1882	3527
348	1890	3527
349	1895	3520
350	1902	3516
351	1906	3510
352	1911	3503
353	1918	3500
354	1923	3494
355	1928	3488
356	1932	3480
357	1936	3472
358	1939	3463
359	1944	3457
360	1950	3451
361	1957	3449
362	1962	3444
363	1966	3436
364	1973	3434
365	1978	3426
366	1982	3419
367	1987	3412
368	1991	3405
369	1994	3396
370	1999	3389
371	2003	3382
372	2007	3374
373	2012	3368
374	2016	3361
375	2020	3352
376	2024	3345
377	2028	3338
378	2032	3330
379	2036	3322
380	2039	3314
381	2043	3306
382	2047	3298
383	2050	3289
384	2054	3282
385	2058	3273
386	2062	3266
387	2066	3259
388	2070	3251
389	2075	3246
390	2079	3239
391	2084	3232
392	2087	3224
393	2092	3217
394	2095	3210
395	2099	3202
396	2102	3194
397	2106	3186
398	2111	3180
399	2114	3172
400	2119	3166
401	2124	3159
402	2129	3154
403	2134	3148
404	2138	3142
405	2143	3135
406	2148	3130
407	2151	3122
408	2155	3115
409	2159	3106
410	2162	3099
